Nom,Date_de_naissance,Sexe,Adresse,E-mail,Numéro_de_téléphone,Job
Océane Collin,1941-09-28,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,OUNVENOUMEDE carré 8460",océanecollin@gmail.com,+22967262874,gestionnaire de contrats d'assurance
Zoé-Anouk Charles,1997-02-03,Masculin,"BORGOU,NIKKI,NIKKI,MARO carré 7571",zoé-anoukcharles@gmail.com,+22964022283,ingénieur du BTP
Daniel Jacques,1938-09-20,Masculin,"ZOU,DJIDJA,AGOUNA,ZOUNGAHOU carré 0036",danieljacques@gmail.com,+22968792971,ingénieur en génie climatique
Joseph Labbé,2007-08-27,Masculin,"ATACORA,OUASSA-PEHUNCO,PEHUNCO,SOAODOU carré 9846",,,
Étienne Maurice,2020-07-22,Féminin,"COLLINES,DASSA-ZOUME,DASSA II,MAHOU carré 9788",,,
Martine Moreno,1971-01-26,Féminin,"BORGOU,NIKKI,NIKKI,KPARISSEROU carré 5994",martinemoreno@gmail.com,+22961328954,technicien de contrôle
Odette Guyon,1963-09-12,Masculin,"BORGOU,KALALE,DERASSI,MATCHORE carré 9766",odetteguyon@gmail.com,+22997738799,technicien de maintenance en informatique
Gérard Dos Santos,1968-05-27,Masculin,"ATACORA,TANGUIETA,TAIACOU,KOGNIGA carré 9934",gérarddossantos@gmail.com,+22968183966,ingénieur support
Laurent Berger,1930-07-05,Masculin,"ALIBORI,KARIMAMA,BIRNI LAFIA,GOROUKAMBOU carré 8136",laurentberger@gmail.com,+22968165220,souffleur de verre
Victor du Perret,1985-03-18,Masculin,"MONO,ATHIEME,ATHIEME,AWAME-KPOTA carré 2898",victorduperret@gmail.com,+22961456617,chargé des relations publiques
Brigitte Chauvet,1947-01-20,Masculin,"DONGA,BASSILA,PENESSOULOU,KODOWARI carré 7752",brigittechauvet@gmail.com,+22956441278,ingénieur gaz
Thibault Picard,1939-03-20,Masculin,"ATACORA,KEROU,KEROU,PIKIRE carré 9597",thibaultpicard@gmail.com,+22965001769,technicien réalisateur réalisatrice radio
Guy-Augustin Pinto,1992-06-03,Féminin,"ATLANTIQUE,ZE,ZE,ZE carré 5801",guy-augustinpinto@gmail.com,+22969743488,technicien pétrolier pétrolière
Paul Rocher-Maillet,1953-04-10,Masculin,"ATLANTIQUE,ZE,DAWE,TOMASSEAHOUA carré 6358",paulrocher-maillet@gmail.com,+22950342479,trader
Célina Grégoire,1959-05-08,Féminin,"ATACORA,TOUKOUNTOUNA,TOUKOUNTOUNA,TOUKOUNTOUNA carré 6705",célinagrégoire@gmail.com,+22965028347,designer d'interaction
Nicole Huet,1994-04-03,Masculin,"OUEME,AVRANKOU,AVRANKOU,SEDJE carré 7455",nicolehuet@gmail.com,+22995084608,conseiller en insertion sociale et professionnelle
Valérie-Claudine Marin,1954-08-29,Masculin,"OUEME,AKPRO-MISSERETE,GOME-SOTA,TCHOUKOU-KPEVI carré 4668",valérie-claudinemarin@gmail.com,+22965902115,ouvrier paysagiste
Benoît Normand-Couturier,1970-07-10,Masculin,"ALIBORI,KANDI,SONSORO,SONSORO carré 0519",benoîtnormand-couturier@gmail.com,+22998429189,directeur d'hôpital
Isaac Hardy,1954-11-10,Masculin,"ATLANTIQUE,KPOMASSE,AGONKANME,AGONKANME CENTRE carré 0089",isaachardy@gmail.com,+22953409383,responsable e-CRM
Alphonse Joly,2020-10-21,Masculin,"OUEME,SEME-PODJI,DJEREGBE,AWANOU carré 3794",,,
Andrée-Maryse Moulin,1992-11-02,Masculin,"ATLANTIQUE,OUIDAH,AVLEKETE,AGBANZIN-KPOTA carré 1348",andrée-marysemoulin@gmail.com,+22968486077,enseignant de la conduite automobile et de la sécurité routière
Hugues Ollivier,1951-03-25,Masculin,"COUFFO,DJAKOTOMEY,GOHOMEY,LOKO-ATOUI carré 4682",huguesollivier@gmail.com,+22968325743,paléontologue
Denise Guillou,2001-06-21,Féminin,"PLATEAU,POBE,ISSABA,ITCHAKPO carré 9799",deniseguillou@gmail.com,+22967937076,puériculteur
Louise François-Mendès,1938-10-14,Masculin,"ALIBORI,GOGOUNOU,WARA,WARA carré 5773",louisefrançois-mendès@gmail.com,+22964961772,ingénieur en chef territorial
Alain Pruvost,1992-07-22,Masculin,"ATACORA,KOUANDE,BIRNI,GORGOBA carré 2657",alainpruvost@gmail.com,+22994811263,artiste de cirque
Julien Vallet,2002-04-27,Masculin,"OUEME,PORTO-NOVO,4EME ARRONDISSEMENT,HOUNSA carré 1657",julienvallet@gmail.com,+22967404426,ingénieur chimiste
Arnaude Lamy,1953-05-20,Masculin,"ZOU,ZAGNANADO,AGONLIN-HOUEGBO,HOUEGBO-DO carré 3397",arnaudelamy@gmail.com,+22964306946,télévendeur
Thérèse Legrand-Robin,1935-11-24,Masculin,"ZOU,BOHICON,AVOGBANNA,AGBOKOU carré 2666",thérèselegrand-robin@gmail.com,+22968406028,ingénieur logiciel
Bernadette Legrand,1991-10-17,Masculin,"ATACORA,KEROU,BRIGNAMARO,GANDO BAKA carré 8048",bernadettelegrand@gmail.com,+22997689075,officier de l'armée de l'air
Célina Delannoy-Lelièvre,1968-03-12,Féminin,"ALIBORI,BANIKOARA,KOKIBOROU,KOKIBOROU carré 3770",célinadelannoy-lelièvre@gmail.com,+22965302620,sapeur-pompier
Jeannine Guibert,1940-11-23,Masculin,"OUEME,SEME-PODJI,EKPE,EKPE-PK10 carré 6854",jeannineguibert@gmail.com,+22990886839,médiateur familial familiale
Céline Collin-Hervé,1989-02-22,Masculin,"OUEME,ADJARRA,AGLOGBE,BOKOVI-TCHAKA carré 9640",célinecollin-hervé@gmail.com,+22951296406,monteur en réseaux de distribution électrique
Olivier Benard,1995-03-20,Masculin,"OUEME,PORTO-NOVO,5EME ARRONDISSEMENT,DOWA  ALIOGBOGO carré 6797",olivierbenard@gmail.com,+22995776027,brancardier
Roger Da Costa Le Blot,1981-09-03,Masculin,"COUFFO,APLAHOUE,GODOHOU,WAKPE carré 2011",rogerdacostaleblot@gmail.com,+22965921329,enseignant-chercheur
Pauline Brunel,1942-07-11,Masculin,"BORGOU,KALALE,DERASSI,GNEL DEMON carré 7832",paulinebrunel@gmail.com,+22968471912,responsable du back office
Michel Baron,1943-11-22,Masculin,"BORGOU,BEMBEREKE,BEMBEREKE,BEMBEREKE-OUEST carré 9668",michelbaron@gmail.com,+22965654356,directeur de création
Michelle de Étienne,1956-02-23,Féminin,"PLATEAU,KETOU,ODOMETA,ODOMETA carré 9797",michelledeétienne@gmail.com,+22967300165,ingénieur en construction navale
Gilbert Moulin,1995-08-03,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,KADERA carré 7076",gilbertmoulin@gmail.com,+22965945919,barman
Grégoire Pascal,1992-06-25,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,CAMP-ADAGBE carré 0941",grégoirepascal@gmail.com,+22994851956,surveillant de centre pénitentiaire
Bernadette-Lorraine Poulain,1953-09-06,Masculin,"ALIBORI,KANDI,KANDI 1,KEFERI-HINKANTE carré 7595",bernadette-lorrainepoulain@gmail.com,+22995455443,céramiste
Benoît-Lucas Lemonnier,1962-05-04,Masculin,"COUFFO,KLOUEKANMEY,LANTA,GBOWIME carré 5846",benoît-lucaslemonnier@gmail.com,+22953914732,maquettiste
Sylvie Paris,1988-08-15,Masculin,"OUEME,AKPRO-MISSERETE,VAKON,VAKON-KPOZOUNGO carré 3061",sylvieparis@gmail.com,+22957625093,microtechnicien
Martine Gay,2017-10-22,Masculin,"OUEME,ADJARRA,MALANHOUI,HEVIE-KPOTA carré 5764",,,
Audrey Valentin de Dumont,2008-07-04,Masculin,"ZOU,DJIDJA,DAN,WOKOU carré 5480",,,
Xavier Pruvost,1935-09-28,Masculin,"ATLANTIQUE,SO-AVA,VEKKY,TOTAKOUN carré 4229",xavierpruvost@gmail.com,+22994696060,scénariste
Thérèse François,1932-10-13,Masculin,"OUEME,BONOU,AFFAME,WOVIME carré 2462",thérèsefrançois@gmail.com,+22995509393,chef de station de traitement des eaux
Hugues Adam du Poulain,1991-04-05,Masculin,"PLATEAU,KETOU,IDIGNY,EFFEOUTE carré 9261",huguesadamdupoulain@gmail.com,+22994235057,accessoiriste
Christophe Bodin,1986-08-17,Masculin,"MONO,HOUEYOGBE,DOUTOU,DOUTOU carré 3512",christophebodin@gmail.com,+22990715925,contrôleur de performance
Marc Leleu,2001-05-05,Féminin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,KPEROU-GUERA carré 0763",marcleleu@gmail.com,+22994915071,ingénieur frigoriste
Matthieu Laine,1974-06-08,Féminin,"OUEME,ADJOHOUN,AKPADANOU,FONLY carré 2778",matthieulaine@gmail.com,+22994159269,trader
Margaud-Michelle Briand,2003-01-09,Masculin,"MONO,HOUEYOGBE,SE,ZOUNME carré 2716",margaud-michellebriand@gmail.com,+22956725437,architecte réseaux
Marc Traore-Fernandes,1998-02-15,Masculin,"BORGOU,KALALE,BOUCA,KAREL carré 1683",marctraore-fernandes@gmail.com,+22994280526,agriculteur
Luce Le Meunier,2016-06-02,Masculin,"ALIBORI,GOGOUNOU,BAGOU,BADOU carré 7185",,,
Lucas-Jacques Barbier,1930-08-16,Masculin,"LITTORAL,COTONOU,6EME ARRONDISSEMENT,GBEDJROMEDE carré 4301",lucas-jacquesbarbier@gmail.com,+22990752007,attaché de recherche clinique (ARC)
Théophile Hernandez,2003-09-28,Masculin,"ZOU,ABOMEY,DJEGBE,DJEGBE carré 8290",théophilehernandez@gmail.com,+22969838183,conservateur territorial de bibliothèques
Brigitte Dufour,2017-06-30,Masculin,"MONO,ATHIEME,DEDEKPOE,AHOHO carré 6520",,,
Amélie Legrand,1933-04-11,Masculin,"MONO,ATHIEME,ATHIEME,AGBOBADA carré 9074",amélielegrand@gmail.com,+22968807638,relieur-doreur
Colette-Sophie Prévost,1933-09-25,Masculin,"ALIBORI,KANDI,ANGARADEBOU,DOGBAN carré 9234",colette-sophieprévost@gmail.com,+22964813487,matelot de la marine marchande
Théophile Peron-Buisson,1938-02-13,Masculin,"PLATEAU,POBE,TOWE,TOWE carré 0796",théophileperon-buisson@gmail.com,+22967270039,ingénieur d'études en sûreté nucléaire
Thierry-Denis Teixeira,1948-11-18,Féminin,"MONO,BOPA,YEGODOE,TOHOUETA AKLOH carré 6838",thierry-denisteixeira@gmail.com,+22969824374,rédacteur médical médicale
Agnès Lefèvre,1990-07-05,Féminin,"LITTORAL,COTONOU,5EME ARRONDISSEMENT,MISSITE carré 5656",agnèslefèvre@gmail.com,+22952143982,professeur des écoles des écoles
Constance du Roche,1976-12-04,Féminin,"PLATEAU,IFANGNI,TCHAADA,TAMONDO carré 3747",constanceduroche@gmail.com,+22951528895,cryptologue
Noémi-Arnaude Hamel,2010-08-09,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,OUEZE carré 6217",,,
Alix Barbe,1944-04-11,Féminin,"ATACORA,NATITINGOU,NATITINGOU I,TCHIRIMINA carré 0436",alixbarbe@gmail.com,+22951378430,ostéopathe
Matthieu Lopez,2006-09-03,Masculin,"ALIBORI,KANDI,ANGARADEBOU,THUY carré 1439",,,
Marie Salmon,1962-09-02,Masculin,"ATACORA,OUASSA-PEHUNCO,PEHUNCO,BEKET carré 6762",mariesalmon@gmail.com,+22964138482,maître-chien
Audrey de Guillet,1938-11-04,Masculin,"ZOU,ZA-KPOTA,ZA-TANTA,TANTA carré 1339",audreydeguillet@gmail.com,+22965957572,sellier
William Mace,2017-11-04,Féminin,"ZOU,OUINHI,OUINHI CENTRE,OUOKON-ZOUNGOME carré 2939",,,
Lucas Le Chevalier,1934-09-17,Masculin,"ALIBORI,SEGBANA,LIBOUSSOU,LETE carré 8353",lucaslechevalier@gmail.com,+22968971623,officier de la marine marchande
Marc Maillet,2019-05-13,Masculin,"MONO,GRAND-POPO,GBEHOUE,SOHON carré 7048",,,
Catherine Lebon,1938-07-29,Masculin,"MONO,LOKOSSA,LOKOSSA,AGONVE carré 0454",catherinelebon@gmail.com,+22964353148,secrétaire d'édition
Nicolas Charpentier,1944-10-24,Masculin,"ATACORA,COBLY,DATORI,TOKIBI carré 5920",nicolascharpentier@gmail.com,+22994703471,conseiller en séjour
Raymond Lévy,1979-02-26,Masculin,"ZOU,ZA-KPOTA,KPAKPAME,TANGBE carré 0891",raymondlévy@gmail.com,+22998187272,paléontologue
Anaïs Masson,2019-12-23,Masculin,"BORGOU,KALALE,PEONGA,BAGARIA carré 0044",,,
André Clerc de Maillet,1988-09-27,Masculin,"COUFFO,APLAHOUE,APLAHOUE,AZONDOGAHOUE carré 9083",andréclercdemaillet@gmail.com,+22966642646,grutier
Isaac Bailly,1961-03-04,Masculin,"ZOU,BOHICON,BOHICON II,AGONVEZOUN carré 1845",isaacbailly@gmail.com,+22964727733,scripte
Franck Torres,1971-03-30,Masculin,"ZOU,COVE,NAOGON,ATTOGON carré 1468",francktorres@gmail.com,+22953974642,credit manager
Madeleine Dubois,1937-09-02,Masculin,"ALIBORI,SEGBANA,SEGBANA,BATAZI carré 4896",madeleinedubois@gmail.com,+22957835682,puériculteur
Louise-Aurore Payet,1938-02-28,Masculin,"DONGA,DJOUGOU,BARIENOU,KOKOSSIKA carré 5426",louise-aurorepayet@gmail.com,+22965716691,iconographe
Pénélope Boulay,1958-02-17,Masculin,"DONGA,BASSILA,BASSILA,ADJIRO carré 5601",pénélopeboulay@gmail.com,+22995970791,ingénieur de maintenance industrielle
Alfred-Jacques Parent,1963-07-22,Masculin,"DONGA,BASSILA,ALEDJO,ALEDJO carré 6507",alfred-jacquesparent@gmail.com,+22964880773,consultant en conduite de changement
Henri de Guilbert,2014-07-31,Masculin,"PLATEAU,ADJA-OUERE,IKPINLE,ITA-BOLARINWA carré 0651",,,
Pauline Sanchez de Chauveau,1959-10-12,Féminin,"OUEME,SEME-PODJI,TOHOUE,TOHOUE carré 0595",paulinesanchezdechauveau@gmail.com,+22965925686,ajusteur-monteur
Margaux Renault-Vincent,1986-06-30,Masculin,"COUFFO,APLAHOUE,DEKPO-CENTRE,HONTONMEY carré 3784",margauxrenault-vincent@gmail.com,+22950482949,maître-chien
Émilie Dumas de Millet,1961-03-21,Masculin,"OUEME,BONOU,BONOU,AGBONAN carré 6049",émiliedumasdemillet@gmail.com,+22951584767,assistant en ressources humaines
Christiane Garnier,1954-12-14,Masculin,"OUEME,PORTO-NOVO,2EME ARRONDISSEMENT,AGBOKOU CENTRE SOCIAL carré 1602",christianegarnier@gmail.com,+22965535716,employé de pressing
Brigitte-Marie Neveu,1932-06-23,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,COCOCODJI carré 8431",brigitte-marieneveu@gmail.com,+22956004202,façadier
Léon-Guy Guillot,1963-07-03,Masculin,"BORGOU,KALALE,KALALE,KIDAROUKPEROU carré 9190",léon-guyguillot@gmail.com,+22950262135,étanchéiste
Hortense Rousseau,1934-05-09,Féminin,"OUEME,ADJOHOUN,GANGBAN,GANGBAN carré 9095",hortenserousseau@gmail.com,+22968772819,poissonnier
Marguerite Laurent-Morin,1973-10-15,Masculin,"COLLINES,GLAZOUE,SOKPONTA,CAMATE carré 8919",margueritelaurent-morin@gmail.com,+22967136623,technicien de contrôle
Denis Coste-Boulay,1935-08-26,Masculin,"DONGA,OUAKE,BADJOUDE,AKPADE carré 2323",deniscoste-boulay@gmail.com,+22954634303,ingénieur analyste de l'air
Nathalie-Claire De Oliveira,1970-10-25,Féminin,"ATLANTIQUE,SO-AVA,VEKKY,TCHINANCOMEY carré 9267",nathalie-clairedeoliveira@gmail.com,+22996203317,technicien de police technique et scientifique
Bernard Maurice,2002-04-08,Féminin,"OUEME,SEME-PODJI,EKPE,DJEFFA KOWENOU carré 8540",bernardmaurice@gmail.com,+22967762222,chercheur en physique
Joseph-Alain Fouquet,1990-12-13,Masculin,"BORGOU,PERERE,GNINSY,KOUKOUMBOU carré 5382",joseph-alainfouquet@gmail.com,+22965902457,acheteur
Augustin Lebon,1990-01-30,Masculin,"ATACORA,TANGUIETA,TANONGOU,SANGOU carré 9497",augustinlebon@gmail.com,+22964007955,technicien de l'intervention sociale et familiale
Paul Bertin,1953-11-26,Masculin,"OUEME,ADJARRA,MEDEDJONOU,LINDJA-DANGBO carré 7665",paulbertin@gmail.com,+22998606309,batelier
Marc-Thomas De Oliveira,1968-09-21,Féminin,"ATLANTIQUE,TORI-BOSSITO,AZOHOUE-ALIHO,HAYAKPA carré 8716",marc-thomasdeoliveira@gmail.com,+22964216806,credit manager
Camille Prévost,1966-02-09,Masculin,"ATLANTIQUE,ZE,TANGBO,TANGBO-AGA carré 0063",camilleprévost@gmail.com,+22961054070,ingénieur nucléaire
Maurice-Patrick Vincent,1989-09-29,Masculin,"OUEME,AVRANKOU,DJOMON,LOTIN-AGA carré 4255",maurice-patrickvincent@gmail.com,+22964646486,ingénieur maintenance aéronautique
Benoît Gay,1996-02-20,Masculin,"ATACORA,MATERI,TANTEGA,NAMBOULI carré 5813",benoîtgay@gmail.com,+22969630832,ingénieur forage
Margaret Bousquet,1939-08-27,Masculin,"ATACORA,KOUANDE,CHABI-COUMA,CHABI COUMA carré 0575",margaretbousquet@gmail.com,+22999480119,officier de l'armée de l'air
Laurent de la Rodrigues,1995-11-07,Masculin,"ATLANTIQUE,OUIDAH,PAHOU,ADJRA-ADOVIE carré 0885",laurentdelarodrigues@gmail.com,+22994095249,chef des ventes
Dominique Lejeune Le Georges,1979-02-15,Masculin,"COUFFO,DOGBO,TOTA,KPODAVE carré 0142",dominiquelejeunelegeorges@gmail.com,+22964788345,consultant informatique
Daniel-Guillaume Rey,1950-10-01,Masculin,"PLATEAU,IFANGNI,IFANGNI,GBOKOU carré 0555",daniel-guillaumerey@gmail.com,+22999744057,cordiste
Suzanne Diaz-Guillou,1952-12-26,Féminin,"ALIBORI,KARIMAMA,MONSEY,LOUMBOU-LOUMBOU carré 5810",suzannediaz-guillou@gmail.com,+22996490700,formateur d'adultes
Eugène Coste,1945-09-18,Féminin,"MONO,LOKOSSA,LOKOSSA,TCHICOMEY carré 0399",eugènecoste@gmail.com,+22965026985,juriste en droit social
Frédéric Gillet-Michel,1996-11-30,Masculin,"BORGOU,KALALE,DUNKASSA,GBESSAKPEROU carré 8317",frédéricgillet-michel@gmail.com,+22994964493,mécanicien d'entretien d'avion
Léon Teixeira,1981-12-04,Féminin,"COLLINES,DASSA-ZOUME,PAOUINGNAN,GOUSSOE carré 1574",léonteixeira@gmail.com,+22969969588,archéologue
David-Xavier Leblanc,2000-01-27,Masculin,"BORGOU,TCHAOUROU,SANSON,KAYA carré 2304",david-xavierleblanc@gmail.com,+22957737464,réceptionniste
Marie Morel,1960-09-21,Masculin,"ZOU,DJIDJA,HOUTO,HOUTO carré 3666",mariemorel@gmail.com,+22994981157,chauffeur de taxi
Jérôme Laporte Le Gauthier,1982-12-02,Masculin,"OUEME,BONOU,DAME-WOGON,AHOUANZONME carré 3756",jérômelaportelegauthier@gmail.com,+22996262570,administrateur de spectacle
Capucine Nguyen de Blanchard,1984-11-25,Masculin,"COLLINES,OUESSE,ODOUGBA,DOKOUNDOHO carré 0920",capucinenguyendeblanchard@gmail.com,+22994961237,agenceur de cuisines et salles de bains
Clémence-Brigitte Carpentier,2004-09-20,Masculin,"OUEME,SEME-PODJI,EKPE,EKPE-KPECOME carré 0238",clémence-brigittecarpentier@gmail.com,+22965367165,coordonnateur d'études cliniques
Étienne Lecomte,1952-08-28,Féminin,"LITTORAL,COTONOU,5EME ARRONDISSEMENT,TOKPA HOHO carré 9528",étiennelecomte@gmail.com,+22996044802,comptable
Margot de la Charpentier,1943-10-08,Masculin,"ATACORA,BOUKOUMBE,BOUKOUMBE,KOUDAHONGOU carré 6338",margotdelacharpentier@gmail.com,+22959829445,mouleur-noyauteur
Matthieu Perrot,1940-09-22,Masculin,"ALIBORI,GOGOUNOU,SORI,SORI-KPANKPANOU carré 5874",matthieuperrot@gmail.com,+22956323698,vétérinaire
William-Jean Dias,2008-04-19,Masculin,"COUFFO,LALO,LOKOGBA,TOULEHOUDJI carré 1489",,,
Richard-Maurice Pires,1937-04-16,Masculin,"BORGOU,NIKKI,BIRO,MASSIAGOUROU carré 1606",richard-mauricepires@gmail.com,+22953183108,accessoiriste
Honoré Richard de la Bazin,1939-08-15,Masculin,"OUEME,AVRANKOU,ATCHOUKPA,TCHOUKOU-DAHO carré 8098",honoréricharddelabazin@gmail.com,+22995098739,enseignant humanitaire
Odette Marion,1977-04-06,Masculin,"ATLANTIQUE,ZE,ZE,ZE carré 7839",odettemarion@gmail.com,+22999153856,matelot de la Marine Nationale
Sébastien Ferreira,2012-03-02,Féminin,"BORGOU,PERERE,PANE,TABEROU carré 6791",,,
Georges Muller,1979-10-30,Masculin,"ATACORA,BOUKOUMBE,MANTA,KOUHINGOU carré 4160",georgesmuller@gmail.com,+22956696373,conducteur d'engins forestiers de récolte en entreprises de travaux forestiers
Marthe Ribeiro,1970-02-22,Féminin,"MONO,ATHIEME,DEDEKPOE,ABLOGANME carré 2835",martheribeiro@gmail.com,+22998073163,guide de haute montagne
Astrid de la Ledoux,2012-04-23,Masculin,"OUEME,ADJOHOUN,AZOWLISSE,GBADA carré 4841",,,
Constance Bourdon-Millet,1953-11-17,Masculin,"PLATEAU,KETOU,KPANKOU,AYEKOU carré 7642",constancebourdon-millet@gmail.com,+22964356704,ambulancier
Tristan Roger,2010-05-26,Masculin,"OUEME,ADJOHOUN,AZOWLISSE,HOUSSA carré 2443",,,
Suzanne-Marthe Courtois,1963-02-16,Masculin,"BORGOU,PARAKOU,1ER ARRONDISSEMENT,GAANON carré 8346",suzanne-marthecourtois@gmail.com,+22953638383,chef de rayon
Marc Marchal-Garnier,1939-04-02,Masculin,"COLLINES,GLAZOUE,OUEDEME,KPOTA carré 0861",marcmarchal-garnier@gmail.com,+22957089779,secrétaire d'édition
Chantal Thibault,1995-12-02,Masculin,"ZOU,COVE,SOLI,AGA carré 8473",chantalthibault@gmail.com,+22950966258,bio-informaticien
Pauline Germain,1951-03-07,Masculin,"ATACORA,BOUKOUMBE,BOUKOUMBE,KOUNADOGOU carré 6055",paulinegermain@gmail.com,+22999807547,rédacteur médical médicale
Lucas Roger,2010-09-26,Masculin,"DONGA,OUAKE,SEMERE 1,OURAMARE carré 3990",,,
Joseph Carpentier,1999-06-27,Masculin,"MONO,LOKOSSA,LOKOSSA,TCHICOMEY carré 7212",josephcarpentier@gmail.com,+22994605259,éducateur de la protection judiciaire de la jeunesse (PJJ)
Victoire Carre,1960-11-08,Féminin,"ZOU,AGBANGNIZOUN,AGBANGNIZOUN,AGBANGNIZOUN carré 8212",victoirecarre@gmail.com,+22952759986,climatologue
Tristan Le Goff,2010-01-04,Masculin,"COLLINES,DASSA-ZOUME,PAOUINGNAN,HOUNKPOGON carré 8281",,,
Julie Guichard de Dos Santos,1984-07-23,Masculin,"ALIBORI,BANIKOARA,FOUNOUGO,FOUNOUGO-SINAKPAROU carré 4111",julieguicharddedossantos@gmail.com,+22991887161,ingénieur forestier forestière
Manon Valette,1986-05-11,Féminin,"LITTORAL,COTONOU,8EME ARRONDISSEMENT,HOUENOUSSOU STE RITA carré 3242",manonvalette@gmail.com,+22998743311,attaché de recherche clinique (ARC)
Xavier Cordier,1966-03-15,Masculin,"DONGA,DJOUGOU,DJOUGOU II,LEMAN-BOGOU carré 2382",xaviercordier@gmail.com,+22962543174,technicien céramiste
Jérôme Le Dupré,1946-10-15,Masculin,"MONO,GRAND-POPO,AVLO,AVLO carré 0043",jérômeledupré@gmail.com,+22995982748,responsable de fabrication en chimie
Marcel Navarro,1992-08-20,Féminin,"ATACORA,COBLY,KOUNTORI,KOUNTORI carré 3969",marcelnavarro@gmail.com,+22953752698,sous-officier de l'armée de l'air
Patrick Moreno-Toussaint,1983-05-15,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,GODOMEY - N'GBEHO carré 4842",patrickmoreno-toussaint@gmail.com,+22994424919,tapissier d'ameublement
Nicole Meunier,1999-09-28,Masculin,"COUFFO,TOVIKLIN,AVEDJIN,SOGNONNOUHOUE carré 1933",nicolemeunier@gmail.com,+22998256359,développeur d'applications mobiles
Stéphane Baron,1957-07-21,Masculin,"ZOU,COVE,ZOGBA,FONLI carré 5024",stéphanebaron@gmail.com,+22967896734,responsable du soutien logistique intégré
Dorothée du Roy,2020-01-15,Masculin,"LITTORAL,COTONOU,13EME ARRONDISSEMENT,AIBATIN KPOTA carré 7748",,,
Dorothée Poulain,1971-08-12,Masculin,"ZOU,BOHICON,BOHICON II,ZAKPO-ADAGAME carré 7147",dorothéepoulain@gmail.com,+22951099701,hydraulicien
Alexandre Delaunay,1989-05-24,Masculin,"BORGOU,NIKKI,NIKKI,BELLE carré 2656",alexandredelaunay@gmail.com,+22965700502,élagueur
Suzanne Bodin,2016-07-15,Masculin,"OUEME,PORTO-NOVO,4EME ARRONDISSEMENT,HOUNSA carré 9923",,,
Michelle Samson,1980-07-21,Masculin,"ALIBORI,KARIMAMA,KOMPA,KOMPA carré 3058",michellesamson@gmail.com,+22990364614,agronome
Louis Barbe,1934-09-19,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,TOKPA-ZOUNGO DAHO carré 1774",louisbarbe@gmail.com,+22991824650,neurobiologiste
Marine Bonnin,1985-06-12,Masculin,"ALIBORI,MALANVILLE,GUENE,KANTORO carré 6141",marinebonnin@gmail.com,+22991902745,expert-comptable
Émile Olivier,1952-12-12,Masculin,"BORGOU,PARAKOU,2EME ARRONDISSEMENT,BANIKANNI carré 1781",émileolivier@gmail.com,+22998196044,esthéticien-cosméticien
Martin Salmon,2001-05-20,Masculin,"OUEME,ADJOHOUN,AKPADANOU,SEKODJI carré 4115",martinsalmon@gmail.com,+22994121103,accompagnant éducatif et social éducative et sociale
Isabelle Mahe,1990-11-01,Féminin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,HLOUAKOMEY carré 0530",isabellemahe@gmail.com,+22969917954,soudeur
Élise Delannoy,1998-02-23,Masculin,"COUFFO,KLOUEKANMEY,AHOGBEYA,KPLAKATAGON carré 8671",élisedelannoy@gmail.com,+22962846676,ingénieur en métrologie
Bernadette Vaillant,1993-01-10,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,AÏMEVO carré 9559",bernadettevaillant@gmail.com,+22967437099,parfumeur
Jacqueline Jacob,1937-11-16,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,TANKPE TOGOUDO carré 2370",jacquelinejacob@gmail.com,+22996034792,auteur-compositeur interprète interprète
Marianne Navarro,2002-07-26,Féminin,"ZOU,ZA-KPOTA,HOUNGOME,AKETEKPA carré 4635",mariannenavarro@gmail.com,+22959232961,animateur du patrimoine
Maggie Gaudin,1978-04-19,Masculin,"DONGA,DJOUGOU,PARTAGO,NANOGOU carré 7265",maggiegaudin@gmail.com,+22995137144,technicien forestier forestière
Astrid de Pascal,1985-05-19,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GODOMEY,ABIKOUHOLI carré 8604",astriddepascal@gmail.com,+22995067707,chef comptable
Maryse Morvan,1930-12-25,Masculin,"OUEME,SEME-PODJI,TOHOUE,GLOGBO carré 1173",marysemorvan@gmail.com,+22952199214,conseiller sportif sportive en salle de remise en forme
Isaac Mallet,1975-05-04,Masculin,"ALIBORI,MALANVILLE,MALANVILLE,BODJECALI-CHATEAU carré 0102",isaacmallet@gmail.com,+22994837218,administrateur de mission humanitaire
Cécile Simon,2010-06-18,Masculin,"ALIBORI,BANIKOARA,FOUNOUGO,FOUNOUGO-YOROUNON carré 8911",,,
